Stall Name,Menu
Mini Wok,"Fried Rice with Prawn - S$3.80,Black Pepper Chicken Rice - S$4.20,Chicken Fried Rice - S$3.80"
Western,"American Breakfast Set - S$4.30, Chicken Chop Rice - S$4.80,Fish & Chips - S$4.80"
Subway,"Hash Browns (4 pieces) - S$1.50,Roasted Chicken Breast - S$7.40,Chocolate Chip Cookie - S$1.60"
Japanese and Korean Delights,"Bimbibap - S$4.80,Chicken Kimchi Soup - S$4.20,Kimchi Fried Rice - S$4.00"
McDonald's,"Fish o' Fillet - S$2.00, Egg McMuffin Meal - S$5.50, McCafe Latte (M) - S$3.00"
